,ts_code,trade_date,open,high,low,close,vol
0,603722.SH,20211029,42.89,43.88,42.59,43.83,5095.62
1,603722.SH,20211028,44.0,44.78,42.38,42.89,7276.0
2,603722.SH,20211027,45.45,45.52,43.5,44.57,7118.0
3,603722.SH,20211026,44.51,46.23,44.14,45.53,8511.0
4,603722.SH,20211025,44.41,44.95,43.57,44.73,4819.25
5,603722.SH,20211022,44.2,45.2,44.0,44.41,4627.0
6,603722.SH,20211021,45.3,45.8,44.56,44.8,6446.0
7,603722.SH,20211020,44.51,45.9,44.51,45.3,6848.13
8,603722.SH,20211019,44.86,45.62,44.7,45.08,5023.0
9,603722.SH,20211018,45.89,46.0,44.78,45.5,6277.0
10,603722.SH,20211015,44.38,46.68,43.11,45.88,9625.33
11,603722.SH,20211014,43.2,44.8,42.5,44.38,7332.0
12,603722.SH,20211013,43.34,43.47,41.85,43.23,6060.8
13,603722.SH,20211012,44.5,44.74,42.43,42.94,9080.06
14,603722.SH,20211011,45.29,45.29,44.18,44.33,6926.56
15,603722.SH,20211008,44.3,45.8,44.3,45.05,7502.0
16,603722.SH,20210930,44.2,44.93,43.76,44.08,9869.0
17,603722.SH,20210929,44.5,45.22,43.5,43.88,8567.0
18,603722.SH,20210928,45.03,45.57,44.0,44.87,8917.33
19,603722.SH,20210927,47.45,47.46,44.3,45.03,16343.25
20,603722.SH,20210924,48.68,48.68,46.92,47.45,14336.0
21,603722.SH,20210923,49.77,50.17,47.8,48.73,14776.0
22,603722.SH,20210922,50.44,50.81,48.87,49.94,12842.0
23,603722.SH,20210917,50.71,52.15,49.13,50.9,12353.0
24,603722.SH,20210916,54.22,54.55,50.8,50.97,21705.0
25,603722.SH,20210915,50.49,54.81,50.04,54.22,25058.34
26,603722.SH,20210914,52.25,52.3,50.37,50.47,11355.0
27,603722.SH,20210913,52.63,53.5,50.9,52.5,12650.52
28,603722.SH,20210910,53.02,53.19,51.55,52.82,14995.52
29,603722.SH,20210909,53.69,54.5,52.6,53.02,14125.0
30,603722.SH,20210908,51.3,54.18,50.5,53.85,19543.25
31,603722.SH,20210907,48.9,51.89,48.11,51.4,19091.0
32,603722.SH,20210906,48.0,49.21,47.58,48.97,10290.25
33,603722.SH,20210903,49.0,49.8,47.6,48.19,11431.75
34,603722.SH,20210902,48.6,49.69,48.5,49.08,10890.81
35,603722.SH,20210901,49.8,51.35,47.6,49.12,23901.17
36,603722.SH,20210831,49.52,49.95,48.5,49.5,18228.0
37,603722.SH,20210830,50.61,51.14,48.7,49.45,22262.0
38,603722.SH,20210827,51.16,51.8,50.34,51.14,16007.29
