,ts_code,trade_date,open,high,low,close,vol
0,688333.SH,20211014,203.21,205.46,199.0,199.5,2314.23
1,688333.SH,20211013,203.0,204.0,198.0,203.21,2135.11
2,688333.SH,20211012,213.82,213.82,198.08,201.9,2820.59
3,688333.SH,20211011,208.64,216.33,206.34,210.08,3148.1
4,688333.SH,20211008,211.47,211.47,205.0,208.81,2364.72
5,688333.SH,20210930,201.15,211.32,201.15,209.41,3484.92
6,688333.SH,20210929,205.0,205.0,196.17,202.49,3267.77
7,688333.SH,20210928,201.56,204.35,195.0,201.76,3242.93
8,688333.SH,20210927,202.0,208.97,199.55,202.0,3580.36
9,688333.SH,20210924,204.99,204.99,197.49,199.51,2954.89
10,688333.SH,20210923,199.87,201.01,192.01,200.34,4126.57
11,688333.SH,20210922,199.99,202.77,194.0,199.11,6882.35
12,688333.SH,20210917,203.7,204.28,194.81,200.82,3124.0
13,688333.SH,20210916,207.98,209.5,202.0,202.0,3082.11
14,688333.SH,20210915,207.17,208.44,201.5,208.08,4177.5
15,688333.SH,20210914,211.1,212.0,205.67,205.67,5057.86
16,688333.SH,20210913,217.03,221.57,207.53,207.62,5090.84
17,688333.SH,20210910,217.48,222.0,213.32,220.67,3745.03
18,688333.SH,20210909,215.11,217.79,212.59,214.6,3707.53
19,688333.SH,20210908,219.98,220.0,212.56,217.0,4781.13
20,688333.SH,20210907,214.97,221.0,211.27,219.2,6153.83
21,688333.SH,20210906,211.48,213.06,206.7,212.19,4988.88
22,688333.SH,20210903,217.22,218.52,205.0,211.48,8010.76
23,688333.SH,20210902,219.88,222.57,211.11,218.12,6732.8
24,688333.SH,20210901,223.47,224.25,215.01,219.0,6810.11
25,688333.SH,20210831,228.8,229.87,218.0,225.3,6059.76
26,688333.SH,20210830,228.0,234.0,225.0,227.5,4268.89
27,688333.SH,20210827,228.69,232.9,227.0,229.54,3061.03
28,688333.SH,20210826,230.11,235.99,228.01,230.0,3402.71
29,688333.SH,20210825,238.56,239.71,224.33,232.5,11306.93
30,688333.SH,20210824,243.0,250.0,233.11,240.6,15770.58
31,688333.SH,20210823,235.27,252.0,230.12,250.55,7687.71
32,688333.SH,20210820,228.92,236.5,223.22,227.6,5066.7
33,688333.SH,20210819,215.51,234.94,215.29,229.15,10573.0
34,688333.SH,20210818,213.74,222.0,213.74,218.0,4369.46
35,688333.SH,20210817,214.35,219.74,211.0,213.17,5524.8
36,688333.SH,20210816,221.7,221.7,212.0,219.0,6415.04
37,688333.SH,20210813,222.9,225.62,217.26,221.7,4078.28
38,688333.SH,20210812,226.58,226.58,218.52,223.0,8814.96
39,688333.SH,20210811,223.65,229.99,220.0,227.58,6949.58
40,688333.SH,20210810,212.0,225.16,212.0,220.89,7437.17
41,688333.SH,20210809,220.11,222.86,210.0,214.14,8063.03
42,688333.SH,20210806,223.11,225.5,217.02,220.44,6591.91
43,688333.SH,20210805,208.79,230.0,204.6,225.5,13319.46
44,688333.SH,20210804,203.02,213.96,203.02,208.8,8568.78
45,688333.SH,20210803,203.72,211.94,198.6,207.0,7455.59
46,688333.SH,20210802,198.05,209.56,197.0,206.73,9407.89
47,688333.SH,20210730,203.0,204.43,193.21,198.05,7897.65
48,688333.SH,20210729,202.99,208.87,198.88,202.16,9739.62
49,688333.SH,20210728,206.99,206.99,190.0,198.11,14740.16
50,688333.SH,20210727,208.11,220.0,206.2,207.0,14393.34
51,688333.SH,20210726,204.97,214.67,198.6,205.0,14985.29
52,688333.SH,20210723,184.48,213.6,184.48,208.22,29095.53
53,688333.SH,20210722,180.68,183.0,176.0,178.0,5591.54
54,688333.SH,20210721,176.8,181.6,174.79,179.96,8489.26
55,688333.SH,20210720,166.01,177.28,166.01,176.8,6828.97
56,688333.SH,20210719,170.11,173.01,165.11,168.0,7766.85
57,688333.SH,20210716,167.87,180.01,165.83,171.0,9857.22
58,688333.SH,20210715,166.39,171.18,165.0,166.9,7999.46
59,688333.SH,20210714,166.49,168.85,165.05,166.4,6270.48
60,688333.SH,20210713,174.0,174.0,163.35,166.6,9749.6
61,688333.SH,20210712,171.99,176.33,168.2,169.9,7581.94
62,688333.SH,20210709,171.0,174.8,168.0,171.7,6670.54
63,688333.SH,20210708,171.28,179.7,168.44,171.7,11261.94
64,688333.SH,20210707,170.2,173.68,164.07,171.25,5847.88
65,688333.SH,20210706,168.18,172.13,165.01,171.34,8457.0
66,688333.SH,20210705,168.0,169.2,163.52,169.2,8091.57
67,688333.SH,20210702,175.34,175.36,167.5,168.8,9023.83
68,688333.SH,20210701,188.86,188.86,174.0,175.36,8518.13
69,688333.SH,20210630,180.5,188.2,180.5,186.91,9841.41
70,688333.SH,20210629,187.95,187.95,175.02,177.99,9727.34
71,688333.SH,20210628,189.6,191.0,183.56,187.95,7158.29
72,688333.SH,20210625,183.22,189.99,180.02,185.56,8372.56
73,688333.SH,20210624,180.85,188.01,177.0,179.51,13434.52
74,688333.SH,20210623,178.86,187.96,174.28,180.2,11755.91
75,688333.SH,20210622,170.01,192.0,167.0,178.96,18330.33
76,688333.SH,20210621,144.08,173.68,144.0,173.68,20567.1
77,688333.SH,20210618,141.8,145.1,141.43,144.73,5789.56
78,688333.SH,20210617,136.78,143.07,135.58,141.43,5763.72
79,688333.SH,20210616,136.0,137.97,134.24,136.81,3340.05
80,688333.SH,20210615,132.59,138.8,132.23,136.29,7131.51
81,688333.SH,20210611,131.16,134.3,131.0,132.8,3185.61
82,688333.SH,20210610,134.0,134.92,130.77,131.16,5116.53
83,688333.SH,20210609,134.0,136.24,133.99,134.0,2721.64
84,688333.SH,20210608,136.38,137.5,134.01,135.37,3390.82
85,688333.SH,20210607,137.87,138.98,134.51,136.38,3790.93
86,688333.SH,20210604,135.0,139.98,134.21,139.98,4036.37
87,688333.SH,20210603,136.5,138.79,135.08,135.2,3082.69
88,688333.SH,20210602,143.77,146.64,136.5,136.9,5482.65
89,688333.SH,20210601,146.98,147.0,142.01,143.0,5954.72
90,688333.SH,20210531,137.97,146.8,134.92,145.2,12484.23
91,688333.SH,20210528,138.84,141.8,135.8,136.3,5456.18
92,688333.SH,20210527,136.87,142.68,136.87,138.84,8692.63
93,688333.SH,20210526,133.88,140.6,133.1,136.92,8204.91
94,688333.SH,20210525,132.44,135.0,130.31,133.91,4675.84
95,688333.SH,20210524,132.96,133.6,129.9,131.05,2786.44
96,688333.SH,20210521,134.19,134.25,130.5,131.96,2640.21
97,688333.SH,20210520,131.69,135.0,131.5,133.97,4396.78
98,688333.SH,20210519,132.78,134.3,130.39,131.69,4655.42
99,688333.SH,20210518,128.97,134.02,126.78,133.69,7381.45
100,688333.SH,20210517,129.74,130.98,128.14,129.2,3459.64
101,688333.SH,20210514,125.56,129.6,125.21,129.1,4897.36
102,688333.SH,20210513,123.3,127.0,122.6,126.88,3768.14
103,688333.SH,20210512,125.87,126.98,122.88,123.01,2255.51
104,688333.SH,20210511,126.02,126.95,123.18,124.9,3104.32
105,688333.SH,20210510,125.25,127.5,120.56,127.01,7153.37
106,688333.SH,20210507,127.5,130.77,125.0,125.26,7614.59
107,688333.SH,20210506,124.72,128.18,121.54,127.23,7494.25
108,688333.SH,20210430,124.01,127.4,121.08,126.0,8026.86
109,688333.SH,20210429,119.0,127.82,118.5,126.77,6980.06
110,688333.SH,20210428,121.99,123.6,117.26,118.6,7228.84
111,688333.SH,20210427,128.18,128.18,121.0,122.0,6479.0
112,688333.SH,20210426,127.0,130.58,126.34,127.17,3419.18
113,688333.SH,20210423,126.87,128.45,125.04,126.32,2009.43
114,688333.SH,20210422,129.22,130.0,125.71,126.0,3683.8
115,688333.SH,20210421,127.48,131.45,126.95,129.12,4311.83
116,688333.SH,20210420,128.7,128.7,125.97,127.0,2229.08
117,688333.SH,20210419,127.9,130.57,125.66,128.23,6826.81
118,688333.SH,20210416,125.71,128.9,125.7,128.9,2148.56
119,688333.SH,20210415,125.64,127.46,124.01,126.55,1723.82
120,688333.SH,20210414,125.0,127.98,124.86,125.64,2120.4
121,688333.SH,20210413,126.0,126.75,124.25,124.53,1645.65
122,688333.SH,20210412,131.98,131.98,124.0,126.0,5826.35
123,688333.SH,20210409,129.9,133.0,129.11,131.98,4014.12
124,688333.SH,20210408,128.8,130.5,127.02,128.89,3554.53
125,688333.SH,20210407,129.37,130.05,125.2,129.0,4658.47
126,688333.SH,20210406,127.87,131.39,127.22,128.99,3012.9
127,688333.SH,20210402,123.8,127.97,123.3,127.82,3542.44
128,688333.SH,20210401,125.23,127.63,123.23,124.55,4532.04
129,688333.SH,20210331,128.0,129.5,124.18,124.87,4782.06
130,688333.SH,20210330,130.0,132.5,127.04,128.01,8700.79
131,688333.SH,20210329,135.97,137.65,133.48,133.89,4488.78
132,688333.SH,20210326,129.01,135.49,127.65,134.54,7392.95
133,688333.SH,20210325,126.49,129.8,125.43,128.2,2585.46
134,688333.SH,20210324,126.0,127.94,124.0,126.88,2962.55
135,688333.SH,20210323,133.16,133.81,126.3,126.93,6130.99
136,688333.SH,20210322,135.0,135.0,132.01,134.2,3018.77
137,688333.SH,20210319,132.31,135.09,131.23,131.23,3769.21
138,688333.SH,20210318,131.47,135.0,131.47,134.2,3529.27
139,688333.SH,20210317,131.0,133.3,130.11,131.47,2813.7
140,688333.SH,20210316,130.3,135.01,129.5,132.34,4825.6
141,688333.SH,20210315,131.11,134.65,129.6,130.3,3941.29
142,688333.SH,20210312,135.8,135.8,129.0,132.58,6329.82
143,688333.SH,20210311,134.6,138.5,131.24,133.77,9880.78
144,688333.SH,20210310,138.11,140.87,130.29,133.62,15885.42
145,688333.SH,20210309,143.0,143.5,135.1,137.0,12536.02
146,688333.SH,20210308,163.0,163.0,141.0,145.0,11112.32
147,688333.SH,20210305,161.84,163.69,154.14,163.69,4234.53
148,688333.SH,20210304,164.02,172.0,161.52,163.98,7581.13
149,688333.SH,20210303,169.09,172.0,164.0,165.94,5145.37
150,688333.SH,20210302,168.0,170.84,166.01,169.57,6009.64
151,688333.SH,20210301,162.5,174.99,161.07,172.5,7604.82
152,688333.SH,20210226,166.12,166.5,158.21,162.88,6131.25
153,688333.SH,20210225,155.0,171.0,150.55,168.0,11361.8
154,688333.SH,20210224,153.6,163.0,152.0,154.0,8046.19
155,688333.SH,20210223,153.25,156.0,148.01,152.88,3908.95
156,688333.SH,20210222,150.21,158.0,148.52,153.25,5097.36
157,688333.SH,20210219,153.0,155.69,149.0,150.21,5715.87
158,688333.SH,20210218,160.3,165.68,156.7,156.7,7100.57
159,688333.SH,20210210,159.0,160.0,154.3,160.0,4814.21
160,688333.SH,20210209,159.45,163.0,157.0,158.1,6213.88
161,688333.SH,20210208,151.7,160.5,148.18,158.2,6078.82
162,688333.SH,20210205,157.0,159.87,151.35,151.36,6175.68
163,688333.SH,20210204,165.58,165.58,152.89,157.58,7290.15
164,688333.SH,20210203,154.11,167.99,152.82,164.3,10482.36
165,688333.SH,20210202,159.98,160.0,150.95,156.0,8038.46
166,688333.SH,20210201,149.11,159.99,147.0,159.98,8757.04
167,688333.SH,20210129,153.31,160.6,147.13,151.0,9087.34
168,688333.SH,20210128,151.11,159.69,150.0,155.35,9854.44
169,688333.SH,20210127,155.0,157.99,148.0,152.98,7805.15
170,688333.SH,20210126,150.0,158.0,146.91,155.58,11389.55
171,688333.SH,20210125,135.18,154.1,134.0,153.82,17878.26
172,688333.SH,20210122,141.0,141.0,133.77,135.27,11497.29
173,688333.SH,20210121,138.72,141.5,137.6,141.19,7212.99
174,688333.SH,20210120,138.5,142.5,136.5,138.49,6951.98
175,688333.SH,20210119,145.44,145.74,138.31,139.25,7969.29
176,688333.SH,20210118,140.8,146.31,136.56,145.2,8051.19
177,688333.SH,20210115,138.93,141.99,136.36,138.88,6413.75
178,688333.SH,20210114,137.0,141.56,131.22,138.93,8697.5
179,688333.SH,20210113,143.53,143.53,130.18,135.7,12159.43
180,688333.SH,20210112,137.18,142.35,136.0,141.6,6180.96
181,688333.SH,20210111,139.99,146.0,134.98,136.5,11229.16
182,688333.SH,20210108,150.66,154.99,140.0,141.15,12308.08
183,688333.SH,20210107,148.46,149.0,140.83,143.43,10086.88
184,688333.SH,20210106,153.5,153.5,146.5,148.41,8525.16
185,688333.SH,20210105,158.45,158.45,151.53,152.3,8531.03
186,688333.SH,20210104,156.83,160.0,150.52,156.88,10489.55
187,688333.SH,20201231,148.9,152.33,148.21,151.98,7276.77
188,688333.SH,20201230,143.98,151.5,141.79,148.6,10241.27
189,688333.SH,20201229,149.99,151.0,140.0,142.01,9916.44
190,688333.SH,20201228,151.3,158.99,146.82,148.2,11071.26
191,688333.SH,20201225,149.0,151.4,145.5,151.0,9973.19
192,688333.SH,20201224,137.58,154.99,137.46,151.59,16959.4
193,688333.SH,20201223,133.92,137.48,131.0,136.24,10053.46
194,688333.SH,20201222,129.16,136.8,128.5,133.84,9866.66
195,688333.SH,20201221,130.0,130.0,124.6,129.14,6360.05
196,688333.SH,20201218,128.0,128.62,125.03,127.45,6083.1
197,688333.SH,20201217,125.37,129.44,125.01,128.62,7129.23
198,688333.SH,20201216,122.11,125.97,121.72,124.85,5410.24
